experiment,nodes,num_lookups,mean_probes,variance,stddev,min_probes,max_probes,expected_log2_hops
0,10,50,10,0,0.0,10,10,4
1,50,50,11,0,0.0,11,11,6
2,100,50,11.34,0.3514285714285714,0.5928141120356123,11,13,7
3,500,50,13.08,1.4220408163265306,1.192493528840526,11,16,9
4,1000,50,13.48,1.9689795918367348,1.4032033323209914,11,16,10
5,2000,50,14.58,1.3097959183673469,1.1444631572782704,12,17,11
